[2025-11-24 22:52:13] Year:2018 | Round:1 | Race | Australian Grand Prix | Reason: Zero Data after Retry
[2025-11-24 22:53:57] Year:2018 | Round:1 | Race | Australian Grand Prix | Reason: Zero Data after Retry
[2025-11-24 23:00:18] Year:2018 | Round:2 | Race | Bahrain Grand Prix | Reason: Zero Data after Retry
[2025-11-24 23:38:01] Year:2018 | Round:21 | Race | Abu Dhabi Grand Prix | Reason: Zero Data Saved
[2025-11-24 23:40:25] Year:2018 | Round:1 | Race | Australian Grand Prix | Reason: Zero Data after Retry
[2025-11-25 00:28:13] Year:2020 | Round:0 | Qualifying | Pre-Season Test 1 | Reason: Cannot get testing event by round number!
[2025-11-25 00:29:13] Year:2020 | Round:0 | Race | Pre-Season Test 1 | Reason: Cannot get testing event by round number!
[2025-11-25 00:30:13] Year:2020 | Round:0 | Qualifying | Pre-Season Test 2 | Reason: Cannot get testing event by round number!
[2025-11-25 00:31:13] Year:2020 | Round:0 | Race | Pre-Season Test 2 | Reason: Cannot get testing event by round number!
[2025-11-25 00:38:07] Year:2020 | Round:3 | Race | Hungarian Grand Prix | Reason: Zero Data Saved
[2025-11-25 00:38:37] Year:2020 | Round:4 | Qualifying | British Grand Prix | Reason: Failed to load any schedule data.
[2025-11-25 00:39:38] Year:2020 | Round:4 | Race | British Grand Prix | Reason: Failed to load any schedule data.
[2025-11-25 00:40:38] Year:2020 | Round:5 | Qualifying | 70th Anniversary Grand Prix | Reason: Failed to load any schedule data.
[2025-11-25 00:41:39] Year:2020 | Round:5 | Race | 70th Anniversary Grand Prix | Reason: Failed to load any schedule data.
[2025-11-25 00:51:26] Year:2020 | Round:0 | Qualifying | Pre-Season Test 1 | Reason: Cannot get testing event by round number!
[2025-11-25 00:52:26] Year:2020 | Round:0 | Race | Pre-Season Test 1 | Reason: Cannot get testing event by round number!
[2025-11-25 00:53:26] Year:2020 | Round:0 | Qualifying | Pre-Season Test 2 | Reason: Cannot get testing event by round number!
[2025-11-25 00:54:26] Year:2020 | Round:0 | Race | Pre-Season Test 2 | Reason: Cannot get testing event by round number!
[2025-11-25 01:26:15] Year:2021 | Round:0 | Qualifying | Pre-Season Test | Reason: Cannot get testing event by round number!
[2025-11-25 01:27:15] Year:2021 | Round:0 | Race | Pre-Season Test | Reason: Cannot get testing event by round number!
[2025-11-25 01:39:37] Year:2021 | Round:6 | Race | Azerbaijan Grand Prix | Reason: Zero Data Saved
[2025-11-25 01:55:47] Year:2020 | Round:0 | Qualifying | Pre-Season Test 1 | Reason: Cannot get testing event by round number!
[2025-11-25 01:56:47] Year:2020 | Round:0 | Race | Pre-Season Test 1 | Reason: Cannot get testing event by round number!
[2025-11-25 01:57:47] Year:2020 | Round:0 | Qualifying | Pre-Season Test 2 | Reason: Cannot get testing event by round number!
[2025-11-25 01:58:47] Year:2020 | Round:0 | Race | Pre-Season Test 2 | Reason: Cannot get testing event by round number!
[2025-11-25 01:59:54] Year:2021 | Round:0 | Qualifying | Pre-Season Test | Reason: Cannot get testing event by round number!
[2025-11-25 02:00:54] Year:2021 | Round:0 | Race | Pre-Season Test | Reason: Cannot get testing event by round number!
[2025-11-25 13:05:48] Year:2020 | Round:0 | Qualifying | Pre-Season Test 1 | Reason: Cannot get testing event by round number!
[2025-11-25 13:06:48] Year:2020 | Round:0 | Race | Pre-Season Test 1 | Reason: Cannot get testing event by round number!
[2025-11-25 13:07:48] Year:2020 | Round:0 | Qualifying | Pre-Season Test 2 | Reason: Cannot get testing event by round number!
[2025-11-25 13:08:48] Year:2020 | Round:0 | Race | Pre-Season Test 2 | Reason: Cannot get testing event by round number!
[2025-11-25 13:09:56] Year:2021 | Round:0 | Qualifying | Pre-Season Test | Reason: Cannot get testing event by round number!
[2025-11-25 13:10:56] Year:2021 | Round:0 | Race | Pre-Season Test | Reason: Cannot get testing event by round number!
[2025-11-25 13:33:37] Year:2022 | Round:0 | Qualifying | Pre-Season Track Session | Reason: Cannot get testing event by round number!
[2025-11-25 13:34:37] Year:2022 | Round:0 | Race | Pre-Season Track Session | Reason: Cannot get testing event by round number!
[2025-11-25 13:35:37] Year:2022 | Round:0 | Qualifying | Pre-Season Test | Reason: Cannot get testing event by round number!
[2025-11-25 13:36:37] Year:2022 | Round:0 | Race | Pre-Season Test | Reason: Cannot get testing event by round number!
[2025-11-25 13:49:33] Year:2022 | Round:6 | Qualifying | Spanish Grand Prix | Reason: Zero Data Saved
[2025-11-25 13:50:06] Year:2022 | Round:6 | Race | Spanish Grand Prix | Reason: Zero Data Saved
[2025-11-25 13:50:38] Year:2022 | Round:7 | Qualifying | Monaco Grand Prix | Reason: Zero Data Saved
[2025-11-25 13:55:12] Year:2020 | Round:0 | Qualifying | Pre-Season Test 1 | Reason: Cannot get testing event by round number!
[2025-11-25 13:56:12] Year:2020 | Round:0 | Race | Pre-Season Test 1 | Reason: Cannot get testing event by round number!
[2025-11-25 13:57:12] Year:2020 | Round:0 | Qualifying | Pre-Season Test 2 | Reason: Cannot get testing event by round number!
[2025-11-25 13:58:12] Year:2020 | Round:0 | Race | Pre-Season Test 2 | Reason: Cannot get testing event by round number!
[2025-11-25 13:59:17] Year:2021 | Round:0 | Qualifying | Pre-Season Test | Reason: Cannot get testing event by round number!
[2025-11-25 14:00:17] Year:2021 | Round:0 | Race | Pre-Season Test | Reason: Cannot get testing event by round number!
[2025-11-25 14:01:25] Year:2022 | Round:0 | Qualifying | Pre-Season Track Session | Reason: Cannot get testing event by round number!
[2025-11-25 14:02:25] Year:2022 | Round:0 | Race | Pre-Season Track Session | Reason: Cannot get testing event by round number!
[2025-11-25 14:03:25] Year:2022 | Round:0 | Qualifying | Pre-Season Test | Reason: Cannot get testing event by round number!
[2025-11-25 14:04:25] Year:2022 | Round:0 | Race | Pre-Season Test | Reason: Cannot get testing event by round number!
[2025-11-25 14:29:17] Year:2022 | Round:17 | Qualifying | Singapore Grand Prix | Reason: Failed to load any schedule data.
[2025-11-25 14:30:18] Year:2022 | Round:17 | Race | Singapore Grand Prix | Reason: Failed to load any schedule data.
[2025-11-25 14:31:18] Year:2022 | Round:18 | Qualifying | Japanese Grand Prix | Reason: Failed to load any schedule data.
[2025-11-25 14:32:19] Year:2022 | Round:18 | Race | Japanese Grand Prix | Reason: Failed to load any schedule data.
[2025-11-25 14:33:19] Year:2022 | Round:19 | Qualifying | United States Grand Prix | Reason: Failed to load any schedule data.
[2025-11-25 15:08:33] Year:2023 | Round:9 | Race | Austrian Grand Prix | Reason: Zero Data Saved
[2025-11-25 15:09:03] Year:2023 | Round:10 | Qualifying | British Grand Prix | Reason: Failed to load any schedule data.
[2025-11-25 15:10:04] Year:2023 | Round:10 | Race | British Grand Prix | Reason: Failed to load any schedule data.
[2025-11-25 15:11:04] Year:2023 | Round:11 | Qualifying | Hungarian Grand Prix | Reason: Failed to load any schedule data.
[2025-11-25 15:12:05] Year:2023 | Round:11 | Race | Hungarian Grand Prix | Reason: Failed to load any schedule data.
[2025-11-25 15:13:05] Year:2023 | Round:12 | Qualifying | Belgian Grand Prix | Reason: Failed to load any schedule data.
[2025-11-25 15:14:06] Year:2023 | Round:12 | Race | Belgian Grand Prix | Reason: Failed to load any schedule data.
[2025-11-25 15:15:06] Year:2023 | Round:13 | Qualifying | Dutch Grand Prix | Reason: Failed to load any schedule data.
[2025-11-25 15:16:07] Year:2023 | Round:13 | Race | Dutch Grand Prix | Reason: Failed to load any schedule data.
